"Olympics","Country","Medal","Event","Athlete","Record"
"Lake Placid 1932","Switzerland","Silver","two-man men","two-man  02",""
"Lake Placid 1932","United States of America","Gold","two-man men","two-man  01",""
"Lake Placid 1932","United States of America","Bronze","two-man men","two-man  02",""
"Lake Placid 1932","United States of America","Gold","two-man men","J. Hubert STEVENS",""
"Lake Placid 1932","United States of America","Gold","two-man men","Curtis STEVENS",""
"Lake Placid 1932","United States of America","Gold","two-man men","Adams ARTHUR",""
"Lake Placid 1932","Switzerland","Silver","two-man men","Reto CAPADRUTT",""
"Lake Placid 1932","Switzerland","Silver","two-man men","Oscar GEIER",""
"Lake Placid 1932","Switzerland","Silver","two-man men","René FONJALLAZ",""
"Lake Placid 1932","Switzerland","Silver","two-man men","Gustave FONJALLAZ",""
"Lake Placid 1932","Switzerland","Silver","two-man men","Gaston FONJALLAZ",""
"Lake Placid 1932","Switzerland","Silver","two-man men","William STAUFFER",""
"Lake Placid 1932","Switzerland","Silver","two-man men","Antoine KLOETTA",""
"Lake Placid 1932","Switzerland","Silver","two-man men","Charles JENNY",""
"Lake Placid 1932","United States of America","Bronze","two-man men","John HEATON",""
"Lake Placid 1932","United States of America","Bronze","two-man men","Robert MINTON",""
"Lake Placid 1932","United States of America","Bronze","two-man men","J. Hubert STEVENS",""
"Lake Placid 1932","United States of America","Bronze","two-man men","Henry A. HOMBURGER",""
"Lake Placid 1932","United States of America","Bronze","two-man men","Precy D. BRYANT",""
"Lake Placid 1932","United States of America","Bronze","two-man men","Harry G MARTIN",""
"Lake Placid 1932","Canada","Bronze","10000m men","Frank STACK",""
"Lake Placid 1932","United States of America","Gold","10000m men","Irving JAFFEE",""
"Lake Placid 1932","Norway","Silver","10000m men","Ivar BALLANGRUD",""
"Lake Placid 1932","Norway","Silver","500m men","Bernt EVENSEN",""
"Lake Placid 1932","United States of America","Gold","500m men","John A. SHEA",""
"Lake Placid 1932","Canada","Bronze","500m men","Alexander HURD",""
"Lake Placid 1932","Norway","Gold","individual women","Sonja HENIE",""
"Lake Placid 1932","Austria","Silver","individual women","Fritzi BURGER",""
"Lake Placid 1932","United States of America","Bronze","individual women","Maribel VINSON",""
"Lake Placid 1932","United States of America","Gold","four-man men","four-man  01",""
"Lake Placid 1932","United States of America","Silver","four-man men","four-man  02",""
"Lake Placid 1932","Germany","Bronze","four-man men","four-man  01",""
"Lake Placid 1932","United States of America","Gold","four-man men","William FISKE",""
"Lake Placid 1932","United States of America","Gold","four-man men","Edward EAGAN",""
"Lake Placid 1932","United States of America","Gold","four-man men","Clifford Barton GRAY",""
"Lake Placid 1932","United States of America","Gold","four-man men","Jay James O'BRIEN",""
"Lake Placid 1932","United States of America","Gold","four-man men","J. Hubert STEVENS",""
"Lake Placid 1932","United States of America","Silver","four-man men","Henry A. HOMBURGER",""
"Lake Placid 1932","United States of America","Silver","four-man men","Precy D. BRYANT",""
"Lake Placid 1932","United States of America","Silver","four-man men","Francis Paul STEVENS",""
"Lake Placid 1932","United States of America","Silver","four-man men","Edmund C HORTON",""
"Lake Placid 1932","United States of America","Silver","four-man men","Harry G MARTIN",""
"Lake Placid 1932","United States of America","Silver","four-man men","Hunter GOODRICH",""
"Lake Placid 1932","United States of America","Silver","four-man men","Albert ASHFORTH",""
"Lake Placid 1932","United States of America","Silver","four-man men","Howard S LIPSON",""
"Lake Placid 1932","United States of America","Silver","four-man men","Clement HACKNEY",""
"Lake Placid 1932","United States of America","Silver","four-man men","Curtis STEVENS",""
"Lake Placid 1932","Germany","Bronze","four-man men","Hans MEHLHHORN",""
"Lake Placid 1932","Germany","Bronze","four-man men","Max LUDWIG",""
"Lake Placid 1932","Germany","Bronze","four-man men","Hanns KILIAN",""
"Lake Placid 1932","Germany","Bronze","four-man men","Sebastian HUBER",""
"Lake Placid 1932","Germany","Bronze","four-man men","Rudolf KROTKI",""
"Lake Placid 1932","Germany","Bronze","four-man men","Fritz GRAU",""
"Lake Placid 1932","Germany","Bronze","four-man men","Helmut HOPMANN",""
"Lake Placid 1932","Germany","Bronze","four-man men","Albert BREHME",""
"Lake Placid 1932","Germany","Bronze","four-man men","Heinrich ROSSNER",""
"Lake Placid 1932","Germany","Bronze","four-man men","Werner HUTH",""
"Lake Placid 1932","Germany","Bronze","four-man men","Werner ZAHN",""
"Lake Placid 1932","Norway","Bronze","50km","Arne RUSTADSTUEN",""
"Lake Placid 1932","Finland","Gold","50km","Veli SAARINEN",""
"Lake Placid 1932","Finland","Silver","50km","Väinö LIIKKANEN",""
"Lake Placid 1932","Sweden","Gold","18km","Sven UTTERSTRÖM",""
"Lake Placid 1932","Sweden","Silver","18km","Axel WIKSTRÖM",""
"Lake Placid 1932","Finland","Bronze","18km","Veli SAARINEN",""
"Lake Placid 1932","Norway","Silver","K90 individual (70m) men","Hans BECK",""
"Lake Placid 1932","Norway","Gold","K90 individual (70m) men","Birger RUUD",""
"Lake Placid 1932","Norway","Bronze","K90 individual (70m) men","Kaare WALBERG",""
"Garmisch-Partenkirchen 1936","Germany","Gold","alpine combined","Christel CRANZ",""
"Garmisch-Partenkirchen 1936","Norway","Bronze","alpine combined","Laila SCHOU-NILSEN",""
"Garmisch-Partenkirchen 1936","Germany","Silver","alpine combined","Käthe GRASEGGER",""
"Garmisch-Partenkirchen 1936","Norway","Bronze","K90 individual (70m) men","Reidar ANDERSEN",""
"Garmisch-Partenkirchen 1936","Norway","Gold","K90 individual (70m) men","Birger RUUD",""
"Garmisch-Partenkirchen 1936","Sweden","Silver","K90 individual (70m) men","Sven ERIKSSON",""
